PARAM,AVG_TIME,RUN,FAILED
1,146,1,0
1,127,2,0
1,128,3,0
10,98,1,0
10,87,2,0
10,91,3,0
20,110,1,0
20,78,2,0
20,55,3,0
50,123,1,0
50,143,2,0
50,131,3,0
100,132,1,0
100,124,2,0
100,156,3,0
1000,370,1,0
1000,404,2,0
1000,159,3,0
