PARAM,AVG_TIME,RUN,FAILED
10,802,1,0
10,455,2,0
10,487,3,0
50,7045,1,0
50,6600,2,0
50,6391,3,0
100,14080,1,0
100,12436,2,0
100,13289,3,0
